variable,group1_code,group2_code,group1,group2,n1,n2,U_stat,cliffs_delta,rank_biserial,ci_95%_lower,ci_95%_upper,ci,p_value,p_adj
Ep.lying down,0,1,Normal,Mild,10462,9554,47030696.5,-0.059,-0.059,-0.071,-0.044,"[-0.07119921041037819, -0.04416608036332895]",3.61E-14,1.08E-13
Ep.lying down,1,2,Mild,Moderate,9554,4840,22810500,-0.013,-0.013,-0.031,0.009,"[-0.030776406122138278, 0.008845655707358081]",0.164749936,0.164749936
Ep.lying down,2,3,Moderate,Severe,4840,3889,9208847,-0.022,-0.022,-0.042,-0.002,"[-0.04205939511527534, -0.0022437556978891883]",0.066941665,0.133883331
Ep.talking,0,1,Normal,Mild,10462,9554,48707954.5,-0.025,-0.025,-0.036,-0.014,"[-0.03570971753912112, -0.013700527366862992]",9.06E-05,0.000271867
Ep.talking,1,2,Mild,Moderate,9554,4840,22997560,-0.005,-0.005,-0.019,0.012,"[-0.018514590076935455, 0.0120968652306074]",0.517223768,0.517223768
Ep.talking,2,3,Moderate,Severe,4840,3889,9145714,-0.028,-0.028,-0.044,-0.007,"[-0.04439748607536833, -0.006840917591256548]",0.005610377,0.011220755
Ep.sitting quietly after lunch,0,1,Normal,Mild,10462,9554,47529013.5,-0.049,-0.049,-0.067,-0.036,"[-0.06727183052339263, -0.0355974811019971]",3.02E-10,9.05E-10
Ep.sitting quietly after lunch,1,2,Mild,Moderate,9554,4840,22781933.5,-0.015,-0.015,-0.033,0.004,"[-0.03288999393616451, 0.004338441278543693]",0.132228912,0.132228912
Ep.sitting quietly after lunch,2,3,Moderate,Severe,4840,3889,9061186.5,-0.037,-0.037,-0.061,-0.017,"[-0.06051726473694612, -0.016827730099092802]",0.001784139,0.003568278
Ep.in car,0,1,Normal,Mild,10462,9554,50677640.5,0.014,0.014,0.002,0.024,"[0.0024293912832737737, 0.024492021815886646]",0.020774992,0.062324975
Ep.in car,1,2,Mild,Moderate,9554,4840,23148716.5,0.001,0.001,-0.014,0.014,"[-0.014156759770906392, 0.013891679440224075]",0.871250065,0.871250065
Ep.in car,2,3,Moderate,Severe,4840,3889,9224104.5,-0.020,-0.020,-0.033,-0.002,"[-0.03310910036572745, -0.0016890323204460996]",0.031366938,0.062733877
Ep.score,0,1,Normal,Mild,10462,9554,47010205.5,-0.059,-0.059,-0.075,-0.045,"[-0.07541606535641793, -0.04518355668152298]",3.42E-13,1.03E-12
Ep.score,1,2,Mild,Moderate,9554,4840,22984091.5,-0.006,-0.006,-0.022,0.011,"[-0.02226317521802992, 0.011351485985706287]",0.561373754,0.561373754
Ep.score,2,3,Moderate,Severe,4840,3889,9027624,-0.041,-0.041,-0.069,-0.013,"[-0.06872562259732366, -0.013002936338772853]",0.001022525,0.00204505
Feel tired now,0,1,Normal,Mild,10462,9554,50890934.5,0.018,0.018,0.004,0.029,"[0.0043125852817739625, 0.02877864664235173]",0.013442,0.026884
Feel tired now,1,2,Mild,Moderate,9554,4840,23672210.5,0.024,0.024,0.007,0.042,"[0.007340027412688554, 0.041964140976822474]",0.008706736,0.026120207
Feel tired now,2,3,Moderate,Severe,4840,3889,9645090.5,0.025,0.025,0.007,0.045,"[0.006660598658220155, 0.04534668667081766]",0.023241925,0.026884
Feeling refreshing,0,1,Normal,Mild,10462,9554,47442353.5,-0.051,-0.051,-0.065,-0.035,"[-0.06461939602425709, -0.03474423991736675]",2.53E-11,5.06E-11
Feeling refreshing,1,2,Mild,Moderate,9554,4840,23274940,0.007,0.007,-0.007,0.022,"[-0.007349476204852106, 0.022336885204068395]",0.48064552,0.48064552
Feeling refreshing,2,3,Moderate,Severe,4840,3889,10199653.5,0.084,0.084,0.063,0.108,"[0.06253381411652702, 0.10767266994850914]",3.83E-13,1.15E-12
Obstructive Apnea,0,1,Normal,Mild,9137,9349,16807188,-0.606,-0.606,-0.616,-0.596,"[-0.616286314363288, -0.5955718186992823]",0,0
Obstructive Apnea,1,2,Mild,Moderate,9349,4785,12305359.5,-0.450,-0.450,-0.465,-0.429,"[-0.4652957149960886, -0.4287945927754722]",0,0
Obstructive Apnea,2,3,Moderate,Severe,4785,3840,5095951,-0.445,-0.445,-0.469,-0.423,"[-0.46894328522291884, -0.4231293212295368]",1.29E-277,1.29E-277
Central Apnea,0,1,Normal,Mild,9137,9349,36644874.5,-0.142,-0.142,-0.156,-0.128,"[-0.15593845157559463, -0.12774729798816142]",1.60E-71,4.81E-71
Central Apnea,1,2,Mild,Moderate,9349,4785,18954681.5,-0.153,-0.153,-0.170,-0.136,"[-0.1700426724375441, -0.13599659628659597]",4.76E-54,9.52E-54
Central Apnea,2,3,Moderate,Severe,4785,3840,7591278,-0.174,-0.174,-0.198,-0.146,"[-0.19759825490900382, -0.1463021146268722]",1.49E-45,1.49E-45
Mixed Apnea,0,1,Normal,Mild,9137,9349,36774940,-0.139,-0.139,-0.149,-0.129,"[-0.14872287509280563, -0.1293819884740681]",1.98E-148,5.93E-148
Mixed Apnea,1,2,Mild,Moderate,9349,4785,18163653.5,-0.188,-0.188,-0.204,-0.175,"[-0.2035935146031745, -0.17471471588275528]",4.87E-119,9.74E-119
Mixed Apnea,2,3,Moderate,Severe,4785,3840,7142732,-0.223,-0.223,-0.239,-0.203,"[-0.23933691984500174, -0.20264316249782305]",3.45E-84,3.45E-84
HYP only,0,1,Normal,Mild,10376,9553,6464503,-0.870,-0.870,-0.876,-0.864,"[-0.8763939687997191, -0.8641348584845928]",0,0
HYP only,1,2,Mild,Moderate,9553,4838,7367757,-0.681,-0.681,-0.697,-0.666,"[-0.6966114103657985, -0.6660365857985909]",0,0
HYP only,2,3,Moderate,Severe,4838,3889,3967012,-0.578,-0.578,-0.606,-0.559,"[-0.6063639909408364, -0.5585470211983196]",0,0
Hypopnea with 4% desat. 30% airflow reduction,0,1,Normal,Mild,9137,9349,6318670.5,-0.852,-0.852,-0.859,-0.846,"[-0.8586048317073298, -0.8455074478459033]",0,0
Hypopnea with 4% desat. 30% airflow reduction,1,2,Mild,Moderate,9349,4785,8781396.5,-0.607,-0.607,-0.620,-0.588,"[-0.6199607108220605, -0.5883066601259217]",0,0
Hypopnea with 4% desat. 30% airflow reduction,2,3,Moderate,Severe,4785,3840,5283353.5,-0.425,-0.425,-0.446,-0.398,"[-0.44643094468390804, -0.39798135585379657]",6.45E-253,6.45E-253
RERA without 4% desat.,0,1,Normal,Mild,10376,9553,32602724,-0.342,-0.342,-0.359,-0.329,"[-0.3591185761640956, -0.3288413659589027]",0,0
RERA without 4% desat.,1,2,Mild,Moderate,9553,4838,21334658.5,-0.077,-0.077,-0.096,-0.054,"[-0.0959170827904824, -0.053821608777159205]",4.79E-14,4.79E-14
RERA without 4% desat.,2,3,Moderate,Severe,4838,3889,10402089,0.106,0.106,0.086,0.137,"[0.08636152030334124, 0.13703664452083983]",1.82E-17,3.65E-17
Apnea,0,1,Normal,Mild,10376,9553,19555731,-0.605,-0.605,-0.617,-0.594,"[-0.6166800594314509, -0.5940926497111719]",0,0
Apnea,1,2,Mild,Moderate,9553,4838,12020894.5,-0.480,-0.480,-0.496,-0.460,"[-0.4957784034606523, -0.4602669396431397]",0,0
Apnea,2,3,Moderate,Severe,4838,3889,4702669.5,-0.500,-0.500,-0.519,-0.480,"[-0.5191928578512592, -0.4798159147853556]",0,0
Apnea + Hypopnea,0,1,Normal,Mild,10376,9553,2084564.5,-0.958,-0.958,-0.961,-0.954,"[-0.9608138867113238, -0.9541394750715503]",0,0
Apnea + Hypopnea,1,2,Mild,Moderate,9553,4838,3005504,-0.870,-0.870,-0.878,-0.860,"[-0.8782412052522021, -0.8601453934657617]",0,0
Apnea + Hypopnea,2,3,Moderate,Severe,4838,3889,2113178.5,-0.775,-0.775,-0.791,-0.758,"[-0.7905339013877345, -0.7581036962990451]",0,0
Apnea + Hypopnea + RERA,0,1,Normal,Mild,10376,9553,8265214.5,-0.833,-0.833,-0.842,-0.827,"[-0.8417398214348696, -0.8265815017238164]",0,0
Apnea + Hypopnea + RERA,1,2,Mild,Moderate,9553,4838,5718272.5,-0.753,-0.753,-0.764,-0.740,"[-0.7641714846918956, -0.739850671870131]",0,0
Apnea + Hypopnea + RERA,2,3,Moderate,Severe,4838,3889,2737835.5,-0.709,-0.709,-0.727,-0.695,"[-0.7267922127164406, -0.6952810345500198]",0,0
